gene,CHR,BP
AT4G30430,4,30430
AT4G31700,4,31700
AT4G35630,4,35630
AT4G37553,4,37553
AT5G02210,5,2210
AT5G09350,5,9350
AT5G10190,5,10190
AT5G10400,5,10400
AT5G12220,5,12220
AT5G12840,5,12840
AT5G13160,5,13160
AT5G35360,5,35360
AT5G37000,5,37000
AT5G37175,5,37175
AT5G38850,5,38850
AT5G39473,5,39473
AT5G39520,5,39520
AT5G40030,5,40030
AT5G40720,5,40720
AT5G54440,5,54440
AT5G54720,5,54720
AT5G62290,5,62290
AT5G62580,5,62580
AT5G64040,5,64040
AT1G02960,1,2960
AT1G03410,1,3410
AT1G03850,1,3850
AT1G09450,1,9450
AT1G11880,1,11880
AT1G24575,1,24575
AT1G28970,1,28970
AT1G31280,1,31280
AT1G45191,1,45191
AT1G46480,1,46480
AT1G50970,1,50970
AT1G51060,1,51060
AT1G52920,1,52920
AT1G63320,1,63320
AT1G64990,1,64990
AT1G68840,1,68840
AT1G72860,1,72860
AT1G72890,1,72890
AT1G79930,1,79930
AT2G05160,2,5160
AT2G16430,2,16430
AT2G17705,2,17705
AT2G18193,2,18193
AT2G24150,2,24150
AT2G26520,2,26520
AT2G29470,2,29470
AT2G35620,2,35620
AT2G38695,2,38695
AT2G40800,2,40800
AT2G43880,2,43880
AT2G45460,2,45460
AT2G47320,2,47320
AT3G03600,3,3600
AT3G07860,3,7860
AT3G12930,3,12930
AT3G19850,3,19850
AT3G25030,3,25030
AT3G25040,3,25040
AT3G27180,3,27180
AT3G43870,3,43870
AT3G48390,3,48390
AT3G49560,3,49560
AT3G50790,3,50790
AT4G00700,4,700
AT4G00900,4,900
AT4G16060,4,16060
AT4G21200,4,21200
AT4G21700,4,21700
AT4G23070,4,23070
AT4G30780,4,30780
AT4G31790,4,31790
AT4G32330,4,32330
AT4G33520,4,33520
AT4G34730,4,34730
AT4G35560,4,35560
AT5G02320,5,2320
AT5G02870,5,2870
AT5G02950,5,2950
AT5G03740,5,3740
AT5G04210,5,4210
AT5G13400,5,13400
AT5G20180,5,20180
AT5G24316,5,24316
AT5G28320,5,28320
AT5G37970,5,37970
AT5G53370,5,53370
AT5G53815,5,53815
AT5G54490,5,54490
AT5G59305,5,59305
AT5G59500,5,59500
AT5G63800,5,63800
AT5G67300,5,67300
AT1G04160,1,4160
AT1G09830,1,9830
AT1G10160,1,10160
AT1G16420,1,16420
AT1G17730,1,17730
AT1G22750,1,22750
AT1G27890,1,27890
AT1G29250,1,29250
AT1G31817,1,31817
AT1G35580,1,35580
AT1G56050,1,56050
AT2G03821,2,3821
AT2G11000,2,11000
AT2G17380,2,17380
AT2G17450,2,17450
AT2G28520,2,28520
AT2G39175,2,39175
AT2G39240,2,39240
AT2G39850,2,39850
AT3G03590,3,3590
AT3G04080,3,4080
AT3G16850,3,16850
AT3G17280,3,17280
AT3G17690,3,17690
AT3G22330,3,22330
AT3G23910,3,23910
AT3G29734,3,29734
AT3G30330,3,30330
AT3G44730,3,44730
AT3G44750,3,44750
AT3G50920,3,50920
AT3G52400,3,52400
AT3G52710,3,52710
AT3G53630,3,53630
AT3G53810,3,53810
AT3G59850,3,59850
AT4G00165,4,165
AT4G04180,4,4180
AT4G10890,4,10890
AT4G11110,4,11110
AT4G11800,4,11800
AT4G17390,4,17390
AT4G17740,4,17740
AT4G19440,4,19440
AT4G31530,4,31530
AT4G32940,4,32940
AT4G39630,4,39630
AT5G09620,5,9620
AT5G18350,5,18350
AT5G19230,5,19230
AT5G20230,5,20230
AT5G24260,5,24260
AT5G27540,5,27540
AT5G29000,5,29000
AT5G41130,5,41130
AT5G45560,5,45560
AT5G52547,5,52547
AT5G57345,5,57345
AT5G66210,5,66210
ATMG00110,M,110
AT1G06360,1,6360
AT1G08660,1,8660
AT1G09200,1,9200
AT1G10560,1,10560
AT1G13460,1,13460
AT1G21190,1,21190
AT1G27680,1,27680
AT1G31983,1,31983
AT1G33500,1,33500
AT1G34510,1,34510
AT1G53320,1,53320
AT1G66990,1,66990
AT1G72850,1,72850
AT1G80700,1,80700
AT2G02410,2,2410
AT2G12390,2,12390
AT2G18890,2,18890
AT2G20635,2,20635
AT2G25430,2,25430
AT2G36970,2,36970
AT2G46300,2,46300
AT3G03580,3,3580
AT3G04110,3,4110
AT3G05560,3,5560
AT3G05870,3,5870
AT3G06610,3,6610
AT3G12230,3,12230
AT3G14380,3,14380
AT3G21055,3,21055
AT3G23400,3,23400
AT3G23940,3,23940
AT3G25597,3,25597
AT3G47100,3,47100
AT3G50850,3,50850
AT3G50940,3,50940
AT3G52170,3,52170
AT3G53000,3,53000
AT3G53280,3,53280
AT3G56380,3,56380
AT3G57000,3,57000
AT3G60960,3,60960
AT3G62190,3,62190
AT4G03490,4,3490
AT4G04157,4,4157
AT4G05180,4,5180
AT4G10420,4,10420
AT4G16510,4,16510
AT4G22200,4,22200
AT4G26310,4,26310
AT4G27750,4,27750
AT4G27852,4,27852
AT4G29010,4,29010
AT4G33130,4,33130
AT4G37050,4,37050
AT4G39740,4,39740
AT5G01670,5,1670
AT5G06830,5,6830
AT5G12280,5,12280
AT5G12370,5,12370
AT5G13460,5,13460
AT5G14060,5,14060
AT5G19470,5,19470
AT5G24680,5,24680
AT5G44110,5,44110
AT5G54750,5,54750
AT5G56170,5,56170
AT5G56890,5,56890
AT5G60930,5,60930
AT5G63200,5,63200
AT5G64890,5,64890
AT5G64990,5,64990
AT5G65400,5,65400
AT1G05310,1,5310
AT1G14700,1,14700
AT1G24090,1,24090
AT1G25682,1,25682
AT1G26410,1,26410
AT1G26640,1,26640
AT1G54820,1,54820
AT1G56110,1,56110
AT1G63950,1,63950
AT1G64610,1,64610
AT1G69910,1,69910
AT2G06555,2,6555
AT2G11150,2,11150
AT2G13600,2,13600
AT2G14285,2,14285
AT2G17690,2,17690
AT2G20990,2,20990
AT2G21510,2,21510
AT2G24765,2,24765
AT2G32230,2,32230
AT2G33175,2,33175
AT2G34300,2,34300
AT2G43750,2,43750
AT2G43960,2,43960
AT2G44440,2,44440
AT2G46000,2,46000
AT2G47140,2,47140
AT3G05935,3,5935
AT3G22210,3,22210
AT3G22590,3,22590
AT3G22690,3,22690
AT3G44798,3,44798
AT3G46600,3,46600
AT3G52990,3,52990
AT3G54790,3,54790
AT3G56210,3,56210
AT3G56370,3,56370
AT3G58380,3,58380
AT3G59890,3,59890
AT3G60930,3,60930
AT4G02400,4,2400
AT4G03550,4,3550
AT4G11000,4,11000
AT4G11290,4,11290
AT4G11380,4,11380
AT4G12900,4,12900
AT4G13440,4,13440
AT4G14540,4,14540
AT4G18910,4,18910
AT4G22490,4,22490
AT4G28820,4,28820
AT4G34215,4,34215
AT4G35410,4,35410
AT4G37910,4,37910
AT5G02244,5,2244
AT5G12970,5,12970
AT5G15210,5,15210
AT5G17590,5,17590
AT5G18150,5,18150
AT5G20420,5,20420
AT5G23310,5,23310
AT5G27240,5,27240
AT5G41070,5,41070
AT5G42110,5,42110
AT5G44140,5,44140
AT5G45240,5,45240
AT5G45400,5,45400
AT5G47120,5,47120
AT5G47260,5,47260
AT5G47455,5,47455
AT5G47880,5,47880
AT5G49525,5,49525
AT5G55780,5,55780
AT5G60730,5,60730
AT5G64816,5,64816
AT5G66200,5,66200
AT1G02330,1,2330
AT1G02350,1,2350
AT1G04770,1,4770
AT1G09250,1,9250
AT1G15620,1,15620
AT1G16930,1,16930
AT1G22882,1,22882
AT1G25290,1,25290
AT1G27420,1,27420
AT1G29740,1,29740
AT1G30660,1,30660
AT1G42990,1,42990
AT1G52500,1,52500
AT1G61180,1,61180
AT1G62590,1,62590
AT1G66750,1,66750
AT1G71210,1,71210
AT1G72370,1,72370
AT1G72990,1,72990
AT1G73920,1,73920
AT1G74070,1,74070
AT1G76940,1,76940
AT2G03480,2,3480
AT2G15250,2,15250
AT2G19430,2,19430
AT2G26730,2,26730
AT2G35320,2,35320
AT2G41310,2,41310
AT2G41800,2,41800
AT2G43440,2,43440
AT2G44578,2,44578
AT2G47485,2,47485
AT3G01210,3,1210
AT3G03670,3,3670
AT3G09670,3,9670
AT3G10572,3,10572
AT3G17680,3,17680
AT3G21220,3,21220
AT3G24830,3,24830
AT3G25130,3,25130
AT3G26165,3,26165
AT3G26220,3,26220
AT3G29230,3,29230
AT3G29644,3,29644
AT3G46200,3,46200
AT3G47520,3,47520
AT3G48830,3,48830
AT3G49420,3,49420
AT3G52748,3,52748
AT3G53160,3,53160
AT3G58010,3,58010
AT3G60164,3,60164
AT3G63090,3,63090
AT4G02580,4,2580
AT4G02960,4,2960
AT4G04360,4,4360
AT4G07940,4,7940
AT4G10340,4,10340
AT4G12110,4,12110
AT4G12540,4,12540
AT4G13520,4,13520
AT4G18640,4,18640
AT4G20170,4,20170
AT4G21705,4,21705
AT4G22580,4,22580
AT4G23215,4,23215
AT4G32000,4,32000
AT4G32780,4,32780
AT4G34700,4,34700
AT4G35320,4,35320
AT4G35880,4,35880
AT4G37705,4,37705
AT4G39280,4,39280
AT4G39950,4,39950
AT5G04990,5,4990
AT5G07180,5,7180
AT5G15380,5,15380
AT5G19730,5,19730
AT5G24580,5,24580
AT5G27220,5,27220
AT5G38720,5,38720
AT5G39250,5,39250
AT5G41730,5,41730
AT5G43420,5,43420
AT5G46910,5,46910
AT5G50715,5,50715
AT5G57060,5,57060
AT5G64520,5,64520
AT5G65230,5,65230
AT1G01100,1,1100
AT1G06140,1,6140
AT1G09195,1,9195
AT1G13310,1,13310
AT1G15125,1,15125
AT1G16705,1,16705
AT1G17080,1,17080
AT1G19780,1,19780
AT1G21930,1,21930
AT1G22250,1,22250
AT1G22550,1,22550
AT1G25400,1,25400
AT1G26200,1,26200
AT1G27950,1,27950
AT1G29050,1,29050
AT1G34150,1,34150
AT1G34440,1,34440
AT1G52640,1,52640
AT1G53380,1,53380
AT1G57620,1,57620
AT1G63110,1,63110
AT1G63160,1,63160
AT1G68800,1,68800
AT1G73170,1,73170
AT1G74940,1,74940
AT1G75900,1,75900
AT1G78280,1,78280
AT1G78830,1,78830
AT2G04070,2,4070
AT2G04350,2,4350
AT2G13580,2,13580
AT2G13650,2,13650
AT2G18290,2,18290
AT2G19490,2,19490
AT2G21300,2,21300
AT2G26540,2,26540
AT2G30660,2,30660
AT2G32250,2,32250
AT2G36090,2,36090
AT2G36310,2,36310
AT2G36580,2,36580
AT2G40190,2,40190
AT2G40860,2,40860
AT2G41710,2,41710
AT2G46310,2,46310
AT2G47400,2,47400
AT3G01980,3,1980
AT3G03770,3,3770
AT3G09050,3,9050
AT3G09720,3,9720
AT3G11700,3,11700
AT3G12320,3,12320
AT3G15190,3,15190
AT3G16000,3,16000
AT3G25011,3,25011
AT3G25560,3,25560
AT3G28570,3,28570
AT3G43580,3,43580
AT3G45640,3,45640
AT3G49690,3,49690
AT3G53980,3,53980
AT3G55690,3,55690
AT3G61660,3,61660
AT3G61800,3,61800
AT3G62610,3,62610
AT4G09480,4,9480
AT4G12100,4,12100
AT4G14970,4,14970
AT4G15420,4,15420
AT4G19710,4,19710
AT4G19720,4,19720
AT4G24340,4,24340
AT4G28440,4,28440
AT4G30830,4,30830
AT4G34350,4,34350
AT4G39220,4,39220
AT5G05620,5,5620
AT5G08760,5,8760
AT5G17410,5,17410
AT5G23710,5,23710
AT5G40530,5,40530
AT5G49160,5,49160
AT5G52770,5,52770
AT5G55260,5,55260
AT5G55640,5,55640
AT5G66750,5,66750
AT1G03660,1,3660
AT1G11670,1,11670
AT1G23000,1,23000
AT1G28150,1,28150
AT1G45170,1,45170
AT1G48710,1,48710
AT1G52230,1,52230
AT1G56200,1,56200
AT1G60800,1,60800
AT1G62600,1,62600
AT1G69990,1,69990
AT1G74680,1,74680
AT1G77840,1,77840
AT1G79010,1,79010
AT1G80560,1,80560
AT2G07213,2,7213
AT2G17480,2,17480
AT2G28190,2,28190
AT2G29170,2,29170
AT2G39440,2,39440
AT2G44220,2,44220
AT3G05690,3,5690
AT3G08630,3,8630
AT3G17185,3,17185
AT3G20670,3,20670
AT3G21570,3,21570
AT3G23980,3,23980
AT3G24840,3,24840
AT3G26200,3,26200
AT3G27906,3,27906
AT3G46130,3,46130
AT3G47670,3,47670
AT3G49510,3,49510
AT3G49550,3,49550
AT3G52540,3,52540
AT3G55510,3,55510
AT3G60370,3,60370
AT3G61750,3,61750
AT4G04167,4,4167
AT4G04890,4,4890
AT4G10080,4,10080
AT4G13150,4,13150
AT4G16210,4,16210
AT4G16500,4,16500
AT4G16730,4,16730
AT4G16915,4,16915
AT4G17770,4,17770
AT4G17910,4,17910
AT4G21270,4,21270
AT4G28210,4,28210
AT4G32030,4,32030
AT4G36940,4,36940
AT5G01290,5,1290
AT5G01980,5,1980
AT5G11160,5,11160
AT5G11640,5,11640
AT5G16780,5,16780
AT5G17560,5,17560
AT5G20160,5,20160
AT5G22070,5,22070
AT5G24810,5,24810
AT5G34868,5,34868
AT5G43935,5,43935
AT5G44240,5,44240
AT5G44290,5,44290
AT5G47320,5,47320
AT5G48820,5,48820
AT5G52680,5,52680
AT5G59090,5,59090
AT1G11570,1,11570
AT1G15820,1,15820
AT1G17100,1,17100
AT1G23740,1,23740
AT1G27340,1,27340
AT1G27580,1,27580
AT1G27940,1,27940
AT1G30410,1,30410
AT1G31800,1,31800
AT1G32172,1,32172
AT1G48050,1,48050
AT1G55964,1,55964
AT1G60220,1,60220
AT1G61230,1,61230
AT1G62120,1,62120
AT1G62630,1,62630
AT1G62835,1,62835
AT1G64195,1,64195
AT1G67610,1,67610
AT1G68526,1,68526
AT2G04420,2,4420
AT2G21290,2,21290
AT2G29650,2,29650
AT2G32590,2,32590
AT2G32980,2,32980
AT2G35605,2,35605
AT2G37640,2,37640
AT2G37690,2,37690
AT2G38620,2,38620
AT2G39780,2,39780
AT2G41120,2,41120
AT2G46225,2,46225
AT3G09520,3,9520
AT3G09860,3,9860
AT3G12350,3,12350
AT3G18410,3,18410
AT3G22310,3,22310
AT3G30805,3,30805
AT3G50890,3,50890
AT3G52040,3,52040
AT3G59010,3,59010
AT3G59360,3,59360
AT3G59450,3,59450
AT4G01897,4,1897
AT4G08685,4,8685
AT4G08800,4,8800
AT4G10800,4,10800
AT4G14340,4,14340
AT4G19390,4,19390
AT4G26780,4,26780
AT4G27760,4,27760
AT4G29480,4,29480
AT4G35000,4,35000
AT5G05560,5,5560
AT5G06970,5,6970
AT5G08530,5,8530
AT5G11960,5,11960
AT5G14640,5,14640
AT5G24110,5,24110
AT5G42320,5,42320
AT5G44090,5,44090
AT5G44910,5,44910
AT5G46580,5,46580
AT5G53510,5,53510
AT5G53540,5,53540
AT5G53660,5,53660
AT5G55090,5,55090
AT5G56710,5,56710
AT5G67430,5,67430
AT1G12420,1,12420
AT1G14180,1,14180
AT1G18910,1,18910
AT1G27410,1,27410
AT1G29750,1,29750
AT1G32580,1,32580
AT1G33640,1,33640
AT1G49952,1,49952
AT1G51175,1,51175
AT1G51670,1,51670
AT1G52670,1,52670
AT1G55205,1,55205
AT1G57540,1,57540
AT1G59610,1,59610
AT1G60850,1,60850
AT1G62355,1,62355
AT1G62620,1,62620
AT1G64790,1,64790
AT1G65985,1,65985
AT1G68830,1,68830
AT1G72950,1,72950
AT1G74870,1,74870
AT2G01310,2,1310
AT2G01740,2,1740
AT2G03560,2,3560
AT2G14245,2,14245
AT2G14800,2,14800
AT2G20570,2,20570
AT2G20950,2,20950
AT2G29410,2,29410
AT2G34680,2,34680
AT2G39000,2,39000
AT2G40660,2,40660
AT2G40780,2,40780
AT2G43100,2,43100
AT2G44460,2,44460
AT2G44620,2,44620
AT3G03970,3,3970
AT3G07690,3,7690
AT3G11230,3,11230
AT3G13065,3,13065
AT3G17390,3,17390
AT3G20935,3,20935
AT3G22290,3,22290
AT3G23580,3,23580
AT3G42792,3,42792
AT3G44205,3,44205
AT3G46970,3,46970
AT3G49010,3,49010
AT3G50550,3,50550
AT3G53690,3,53690
AT3G56960,3,56960
AT3G57750,3,57750
AT4G00770,4,770
AT4G00800,4,800
AT4G09010,4,9010
AT4G11470,4,11470
AT4G14640,4,14640
AT4G15360,4,15360
AT4G16780,4,16780
AT4G18480,4,18480
AT4G21570,4,21570
AT4G25080,4,25080
AT4G37800,4,37800
AT4G39190,4,39190
AT5G01540,5,1540
AT5G05850,5,5850
AT5G13260,5,13260
AT5G22650,5,22650
AT5G25880,5,25880
AT5G28310,5,28310
AT5G38540,5,38540
AT5G44180,5,44180
AT5G44220,5,44220
AT5G44572,5,44572
AT5G49800,5,49800
AT5G55125,5,55125
AT5G56510,5,56510
AT5G56650,5,56650
AT5G60040,5,60040
AT5G60880,5,60880
AT5G62910,5,62910
AT5G64900,5,64900
ATMG01370,M,1370
AT1G01930,1,1930
AT1G05060,1,5060
AT1G08360,1,8360
AT1G10720,1,10720
AT1G11020,1,11020
AT1G18440,1,18440
AT1G25550,1,25550
AT1G29030,1,29030
AT1G43170,1,43170
AT1G48520,1,48520
AT1G55365,1,55365
AT1G55475,1,55475
AT1G55900,1,55900
AT1G61510,1,61510
AT1G62390,1,62390
AT1G62910,1,62910
AT1G68500,1,68500
AT1G70518,1,70518
AT1G71400,1,71400
AT1G72240,1,72240
AT1G76530,1,76530
AT2G05580,2,5580
AT2G10410,2,10410
AT2G21560,2,21560
AT2G22930,2,22930
AT2G23350,2,23350
AT2G29690,2,29690
AT2G30600,2,30600
AT2G31860,2,31860
AT2G32030,2,32030
AT2G34040,2,34040
AT2G39400,2,39400
AT2G43080,2,43080
AT2G47275,2,47275
AT2G47450,2,47450
AT3G01180,3,1180
AT3G02390,3,2390
AT3G04400,3,4400
AT3G10640,3,10640
AT3G14400,3,14400
AT3G16420,3,16420
AT3G22940,3,22940
AT3G27950,3,27950
AT3G59110,3,59110
AT3G61490,3,61490
AT3G63540,3,63540
AT4G01050,4,1050
AT4G02482,4,2482
AT4G02990,4,2990
AT4G13180,4,13180
AT4G16745,4,16745
AT4G17540,4,17540
AT4G19370,4,19370
AT4G22540,4,22540
AT4G23205,4,23205
AT4G34240,4,34240
AT4G36140,4,36140
AT4G37930,4,37930
AT5G03406,5,3406
AT5G04550,5,4550
AT5G06160,5,6160
AT5G06910,5,6910
AT5G11980,5,11980
AT5G13750,5,13750
AT5G23210,5,23210
AT5G25210,5,25210
AT5G28442,5,28442
AT5G35170,5,35170
AT5G42810,5,42810
AT5G45440,5,45440
AT5G46110,5,46110
AT5G54100,5,54100
AT5G54590,5,54590
AT5G54840,5,54840
AT5G61640,5,61640
AT5G62030,5,62030
AT5G66140,5,66140
AT1G08580,1,8580
AT1G18210,1,18210
AT1G20100,1,20100
AT1G24270,1,24270
AT1G27008,1,27008
AT1G35420,1,35420
AT1G49910,1,49910
AT1G53633,1,53633
AT1G58170,1,58170
AT1G61840,1,61840
AT1G63390,1,63390
AT1G69830,1,69830
AT1G72030,1,72030
AT1G73040,1,73040
AT1G77680,1,77680
AT2G02930,2,2930
AT2G04340,2,4340
AT2G05120,2,5120
AT2G06025,2,6025
AT2G06670,2,6670
AT2G07050,2,7050
AT2G15620,2,15620
AT2G16090,2,16090
AT2G22670,2,22670
AT2G27720,2,27720
AT2G28605,2,28605
AT2G29100,2,29100
AT2G30360,2,30360
AT2G34910,2,34910
AT2G35585,2,35585
AT2G45685,2,45685
AT2G48120,2,48120
AT3G04420,3,4420
AT3G04940,3,4940
AT3G06125,3,6125
AT3G06440,3,6440
AT3G10610,3,10610
AT3G12585,3,12585
AT3G13437,3,13437
AT3G16230,3,16230
AT3G20760,3,20760
AT3G20890,3,20890
AT3G24440,3,24440
AT3G32110,3,32110
AT3G46370,3,46370
AT3G46430,3,46430
AT3G47350,3,47350
AT3G47870,3,47870
AT3G49900,3,49900
AT3G50070,3,50070
AT3G51050,3,51050
AT3G53370,3,53370
AT3G54120,3,54120
AT3G57010,3,57010
AT3G59300,3,59300
AT3G62390,3,62390
AT4G00670,4,670
AT4G04450,4,4450
AT4G04470,4,4470
AT4G09580,4,9580
AT4G12070,4,12070
AT4G12230,4,12230
AT4G13680,4,13680
AT4G20325,4,20325
AT4G20970,4,20970
AT4G25330,4,25330
AT4G28700,4,28700
AT4G29080,4,29080
AT4G32430,4,32430
AT4G33220,4,33220
AT5G03490,5,3490
AT5G04895,5,4895
AT5G07170,5,7170
AT5G16450,5,16450
AT5G20020,5,20020
AT5G23990,5,23990
AT5G27920,5,27920
AT5G30510,5,30510
AT5G35407,5,35407
AT5G40700,5,40700
AT5G45890,5,45890
AT5G55380,5,55380
AT5G58003,5,58003
AT5G59440,5,59440
ATMG00690,M,690
AT1G01010,1,1010
AT1G02260,1,2260
AT1G03950,1,3950
AT1G06200,1,6200
AT1G10500,1,10500
AT1G11990,1,11990
AT1G18382,1,18382
AT1G18400,1,18400
AT1G22630,1,22630
AT1G23640,1,23640
AT1G32640,1,32640
AT1G43180,1,43180
AT1G55380,1,55380
AT1G58037,1,58037
AT1G58561,1,58561
AT1G62780,1,62780
AT1G65410,1,65410
AT1G67860,1,67860
AT1G72520,1,72520
AT1G74380,1,74380
AT1G78010,1,78010
AT2G06490,2,6490
AT2G17240,2,17240
AT2G26170,2,26170
AT2G31410,2,31410
AT2G33050,2,33050
AT2G35480,2,35480
AT2G39110,2,39110
AT2G42770,2,42770
AT2G44090,2,44090
AT3G03570,3,3570
AT3G09405,3,9405
AT3G11964,3,11964
AT3G12340,3,12340
AT3G13610,3,13610
AT3G16800,3,16800
AT3G19640,3,19640
AT3G20350,3,20350
AT3G45030,3,45030
AT3G50700,3,50700
AT3G51250,3,51250
AT3G51470,3,51470
AT3G54900,3,54900
AT3G59068,3,59068
AT3G61110,3,61110
AT4G00400,4,400
AT4G01990,4,1990
AT4G05540,4,5540
AT4G14723,4,14723
AT4G16570,4,16570
AT4G16855,4,16855
AT4G17010,4,17010
AT4G17510,4,17510
AT4G19045,4,19045
AT4G26680,4,26680
AT4G27070,4,27070
AT4G32605,4,32605
AT4G34880,4,34880
AT5G05600,5,5600
AT5G06130,5,6130
AT5G08510,5,8510
AT5G12240,5,12240
AT5G28900,5,28900
AT5G35331,5,35331
AT5G40050,5,40050
AT5G42050,5,42050
AT5G44575,5,44575
AT5G50870,5,50870
AT5G56600,5,56600
AT5G66640,5,66640
AT1G06980,1,6980
AT1G12720,1,12720
AT1G16700,1,16700
AT1G16825,1,16825
AT1G17920,1,17920
AT1G18690,1,18690
AT1G21529,1,21529
AT1G27770,1,27770
AT1G28560,1,28560
AT1G32700,1,32700
AT1G34120,1,34120
AT1G43620,1,43620
AT1G48920,1,48920
AT1G49340,1,49340
AT1G52800,1,52800
AT1G52905,1,52905
AT1G54000,1,54000
AT1G55010,1,55010
AT1G59540,1,59540
AT1G68310,1,68310
AT1G70130,1,70130
AT1G71440,1,71440
AT1G71695,1,71695
AT1G73270,1,73270
AT1G75850,1,75850
AT2G02150,2,2150
AT2G02520,2,2520
AT2G03150,2,3150
AT2G03670,2,3670
AT2G05560,2,5560
AT2G14475,2,14475
AT2G16900,2,16900
AT2G19210,2,19210
AT2G20585,2,20585
AT2G20720,2,20720
AT2G20750,2,20750
AT2G22610,2,22610
AT2G24010,2,24010
AT2G24390,2,24390
AT2G28320,2,28320
AT2G28930,2,28930
AT2G29270,2,29270
AT2G38160,2,38160
AT2G40240,2,40240
AT2G41870,2,41870
AT3G01520,3,1520
AT3G03305,3,3305
AT3G05450,3,5450
AT3G06880,3,6880
AT3G07350,3,7350
AT3G07910,3,7910
AT3G13940,3,13940
AT3G14930,3,14930
AT3G15660,3,15660
AT3G19440,3,19440
AT3G20320,3,20320
AT3G20440,3,20440
AT3G23990,3,23990
AT3G28580,3,28580
AT3G29100,3,29100
AT3G29736,3,29736
AT3G47490,3,47490
AT3G48930,3,48930
AT3G49551,3,49551
AT3G51670,3,51670
AT3G59810,3,59810
AT3G60210,3,60210
AT3G60965,3,60965
AT3G62700,3,62700
AT4G08455,4,8455
AT4G08780,4,8780
AT4G10050,4,10050
AT4G13710,4,13710
AT4G14965,4,14965
AT4G25800,4,25800
AT4G25835,4,25835
AT4G29390,4,29390
AT4G33430,4,33430
AT4G36860,4,36860
AT5G15700,5,15700
AT5G17710,5,17710
AT5G20190,5,20190
AT5G27470,5,27470
AT5G35753,5,35753
AT5G39490,5,39490
AT5G40140,5,40140
AT5G41610,5,41610
AT5G43800,5,43800
AT5G50840,5,50840
AT5G51490,5,51490
AT5G54206,5,54206
AT5G55410,5,55410
AT5G60360,5,60360
AT1G01080,1,1080
AT1G01130,1,1130
AT1G07140,1,7140
AT1G08290,1,8290
AT1G11175,1,11175
AT1G11720,1,11720
AT1G18370,1,18370
AT1G21480,1,21480
AT1G28950,1,28950
AT1G30400,1,30400
AT1G33660,1,33660
AT1G45140,1,45140
AT1G50690,1,50690
AT1G52080,1,52080
AT1G59640,1,59640
AT1G70550,1,70550
AT1G74640,1,74640
AT1G75200,1,75200
AT1G75220,1,75220
AT1G75810,1,75810
AT1G76480,1,76480
AT1G76610,1,76610
AT1G79190,1,79190
AT2G04170,2,4170
AT2G04360,2,4360
AT2G12400,2,12400
AT2G19830,2,19830
AT2G20470,2,20470
AT2G21960,2,21960
AT2G25620,2,25620
AT2G29740,2,29740
AT2G29750,2,29750
AT2G30480,2,30480
AT2G40010,2,40010
AT2G41820,2,41820
AT2G43090,2,43090
AT3G05520,3,5520
AT3G06920,3,6920
AT3G09950,3,9950
AT3G19210,3,19210
AT3G22275,3,22275
AT3G24490,3,24490
AT3G26539,3,26539
AT3G30340,3,30340
AT3G45120,3,45120
AT3G56650,3,56650
AT3G58540,3,58540
AT3G58840,3,58840
AT3G62410,3,62410
AT4G11670,4,11670
AT4G19050,4,19050
AT4G23950,4,23950
AT4G27490,4,27490
AT4G29350,4,29350
AT4G30240,4,30240
AT4G31590,4,31590
AT4G32785,4,32785
AT5G01820,5,1820
AT5G04490,5,4490
AT5G10260,5,10260
AT5G15010,5,15010
AT5G15730,5,15730
AT5G25090,5,25090
AT5G27230,5,27230
AT5G28280,5,28280
AT5G40405,5,40405
AT5G44870,5,44870
AT5G48620,5,48620
AT5G53420,5,53420
AT5G59270,5,59270
AT1G04530,1,4530
AT1G07473,1,7473
AT1G09440,1,9440
AT1G11130,1,11130
AT1G22430,1,22430
AT1G28590,1,28590
AT1G29900,1,29900
AT1G33612,1,33612
AT1G64020,1,64020
AT1G65200,1,65200
AT1G66725,1,66725
AT1G68520,1,68520
AT1G71710,1,71710
AT1G75600,1,75600
AT1G75990,1,75990
AT1G78270,1,78270
AT2G01913,2,1913
AT2G16460,2,16460
AT2G19650,2,19650
AT2G22250,2,22250
AT2G37585,2,37585
AT2G43460,2,43460
AT2G47730,2,47730
AT3G10915,3,10915
AT3G11770,3,11770
AT3G13280,3,13280
AT3G15320,3,15320
AT3G18580,3,18580
AT3G24515,3,24515
AT3G26050,3,26050
AT3G27290,3,27290
AT3G30210,3,30210
AT3G49640,3,49640
AT3G50930,3,50930
AT3G53220,3,53220
AT3G53360,3,53360
AT3G56170,3,56170
AT3G58430,3,58430
AT3G59830,3,59830
AT3G60190,3,60190
AT3G62140,3,62140
AT4G04640,4,4640
AT4G14290,4,14290
AT4G19140,4,19140
AT4G19510,4,19510
AT4G26240,4,26240
AT4G29400,4,29400
AT4G29910,4,29910
AT4G29950,4,29950
AT5G04480,5,4480
AT5G13230,5,13230
AT5G14220,5,14220
AT5G37690,5,37690
AT5G37830,5,37830
AT5G38140,5,38140
AT5G39730,5,39730
AT5G41280,5,41280
AT5G51570,5,51570
AT5G52200,5,52200
AT5G53580,5,53580
AT5G65870,5,65870
AT1G04445,1,4445
AT1G07010,1,7010
AT1G08770,1,8770
AT1G09155,1,9155
AT1G12740,1,12740
AT1G13630,1,13630
AT1G18450,1,18450
AT1G20190,1,20190
AT1G22510,1,22510
