"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT2G40620",6970,0.096,"Basic-leucine zipper (bZIP) transcription factor family protein(AT2G40620)","AT2G40620"
"AT3G03060",9533,0.096,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G03060)","AT3G03060"
"AT3G04445",9518,0.096,"miscRNA(AT3G04445)","AT3G04445"
"AT3G08947",9586,0.096,"ARM repeat superfamily protein(AT3G08947)","AT3G08947"
"AT3G09800",9944,0.096,"SNARE-like superfamily protein(AT3G09800)","AT3G09800"
"AT3G11325",9584,0.096,"Phospholipid/glycerol acyltransferase family protein(AT3G11325)","AT3G11325"
"AT3G15380",9550,0.096,"Plasma-membrane choline transporter family protein(AT3G15380)","AT3G15380"
"AT3G18145",9880,0.096,"miscRNA(AT3G18145)","AT3G18145"
"AT3G19184",9880,0.096,"AP2/B3-like transcriptional factor family protein(AT3G19184)","AT3G19184"
"AT3G23370",9557,0.096,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G23370)","AT3G23370"
"AT3G28915",9560,0.096,"hypothetical protein(AT3G28915)","AT3G28915"
"AT3G47836",9586,0.096,"transmembrane protein(AT3G47836)","AT3G47836"
"AT3G48340",9518,0.096,"Cysteine proteinases superfamily protein(CEP2)","CEP2"
"AT3G49550",9568,0.096,"hypothetical protein(AT3G49550)","AT3G49550"
"AT3G54010",9871,0.096,"FKBP-type peptidyl-prolyl cis-trans isomerase family protein(PAS1)","PAS1"
"AT3G62950",9568,0.096,"Thioredoxin superfamily protein(AT3G62950)","AT3G62950"
"AT4G03115",6970,0.096,"Mitochondrial substrate carrier family protein(AT4G03115)","AT4G03115"
"AT4G28110",9586,0.096,"myb domain protein 41(MYB41)","MYB41"
"AT4G28660",8357,0.096,"photosystem II reaction center PSB28 protein(PSB28)","PSB28"
"AT4G29470",9526,0.096,"Phospholipase A2 family protein(PLA2-DELTA)","PLA2-DELTA"
"AT4G34790",9587,0.096,"SAUR-like auxin-responsive protein family(AT4G34790)","AT4G34790"
"AT4G38960",9587,0.096,"B-box type zinc finger family protein(BBX19)","BBX19"
"AT5G01080",9543,0.096,"Beta-galactosidase related protein(AT5G01080)","AT5G01080"
"AT5G15570",9587,0.096,"Bromodomain transcription factor(AT5G15570)","AT5G15570"
"AT5G47818",9874,0.096,"miscRNA(AT5G47818)","AT5G47818"
"AT5G48410",9587,0.096,"glutamate receptor 1.3(GLR1.3)","GLR1.3"
"AT5G51370",9522,0.096,"RNI-like superfamily protein(AT5G51370)","AT5G51370"
"AT5G52810",9855,0.096,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G52810)","AT5G52810"
"AT5G57420",9587,0.096,"indole-3-acetic acid inducible 33(IAA33)","IAA33"
"AT5G58070",9586,0.096,"temperature-induced lipocalin(TIL)","TIL"
"AT5G62230",9846,0.096,"ERECTA-like 1(ERL1)","ERL1"
"AT5G62330",9522,0.096,"hypothetical protein(AT5G62330)","AT5G62330"
"AT5G67350",9855,0.096,"hypothetical protein(AT5G67350)","AT5G67350"
"AT1G05100",9905,0.095,"mitogen-activated protein kinase kinase kinase 18(MAPKKK18)","MAPKKK18"
"AT1G16770",6970,0.095,"hypothetical protein(AT1G16770)","AT1G16770"
"AT1G17680",9825,0.095,"tetratricopeptide repeat (TPR)-containing protein(AT1G17680)","AT1G17680"
"AT1G21410",9871,0.095,"F-box/RNI-like superfamily protein(SKP2A)","SKP2A"
"AT1G31993",9846,0.095,"hypothetical protein(AT1G31993)","AT1G31993"
"AT1G32560",9533,0.095,"Late embryogenesis abundant protein, group 1 protein(AtLEA4-1)","AtLEA4-1"
"AT1G45120",9601,0.095,"hypothetical protein(AT1G45120)","AT1G45120"
"AT1G47490",9584,0.095,"RNA-binding protein 47C(RBP47C)","RBP47C"
"AT1G50060",9533,0.095,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT1G50060)","AT1G50060"
"AT1G52190",9567,0.095,"Major facilitator superfamily protein(AT1G52190)","AT1G52190"
"AT1G57980",9845,0.095,"Nucleotide-sugar transporter family protein(AT1G57980)","AT1G57980"
"AT1G76280",9880,0.095,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G76280)","AT1G76280"
"AT1G77180",9587,0.095,"chromatin protein family(SKIP)","SKIP"
"AT2G19180",9846,0.095,"hypothetical protein(AT2G19180)","AT2G19180"
"AT2G28130",9855,0.095,"actin protein 2/3 complex subunit-like protein(AT2G28130)","AT2G28130"
"AT2G30440",9846,0.095,"thylakoid processing peptide(TPP)","TPP"
"AT2G32060",9567,0.095,"Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein(AT2G32060)","AT2G32060"
"AT2G35130",9874,0.095,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G35130)","AT2G35130"
"AT2G44990",9846,0.095,"carotenoid cleavage dioxygenase 7(CCD7)","CCD7"
"AT2G46700",9944,0.095,"CDPK-related kinase 3(CRK3)","CRK3"
"AT3G03230",9832,0.095,"alpha/beta-Hydrolases superfamily protein(AT3G03230)","AT3G03230"
"AT3G15800",9598,0.095,"Glycosyl hydrolase superfamily protein(AT3G15800)","AT3G15800"
"AT3G16130",9586,0.095,"RHO guanyl-nucleotide exchange factor 13(ROPGEF13)","ROPGEF13"
"AT3G16290",9944,0.095,"AAA-type ATPase family protein(EMB2083)","EMB2083"
"AT3G43990",9524,0.095,"Bromo-adjacent homology (BAH) domain-containing protein(AT3G43990)","AT3G43990"
"AT3G45780",9547,0.095,"phototropin 1(PHOT1)","PHOT1"
"AT3G47720",9522,0.095,"similar to RCD one 4(SRO4)","SRO4"
"AT3G49230",9601,0.095,"transmembrane protein(AT3G49230)","AT3G49230"
"AT3G51560",9547,0.095,"Disease resistance protein (TIR-NBS-LRR class) family(AT3G51560)","AT3G51560"
"AT3G56690",9568,0.095,"Cam interacting protein 111(CIP111)","CIP111"
"AT3G61040",6970,0.095,"cytochrome P450, family 76, subfamily C, polypeptide 7(CYP76C7)","CYP76C7"
"AT3G63070",9845,0.095,"Tudor/PWWP/MBT domain-containing protein(AT3G63070)","AT3G63070"
"AT4G09900",9533,0.095,"methyl esterase 12(MES12)","MES12"
"AT4G13020",9550,0.095,"Protein kinase superfamily protein(MHK)","MHK"
"AT4G24780",9846,0.095,"Pectin lyase-like superfamily protein(AT4G24780)","AT4G24780"
"AT4G25580",9524,0.095,"CAP160 protein(AT4G25580)","AT4G25580"
"AT4G31750",9588,0.095,"HOPW1-1-interacting 2(WIN2)","WIN2"
"AT4G32700",9586,0.095,"MUS308 and mammalian DNA polymerase-like protein(AT4G32700)","AT4G32700"
"AT5G18700",9584,0.095,"kinase family with ARM repeat domain-containing protein(AT5G18700)","AT5G18700"
"AT5G24330",9568,0.095,"TRITHORAX-RELATED PROTEIN 6(ATXR6)","ATXR6"
"AT5G40340",9550,0.095,"Tudor/PWWP/MBT superfamily protein(AT5G40340)","AT5G40340"
"AT5G46450",8357,0.095,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G46450)","AT5G46450"
"AT5G53510",9905,0.095,"oligopeptide transporter 9(OPT9)","OPT9"
"AT5G57820",9819,0.095,"zinc ion binding protein(AT5G57820)","AT5G57820"
"AT5G60030",9524,0.095,"hypothetical protein(AT5G60030)","AT5G60030"
"AT1G02180",9568,0.094,"ferredoxin-like protein(AT1G02180)","AT1G02180"
"AT1G03540",9567,0.094,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT1G03540)","AT1G03540"
"AT1G03960",9593,0.094,"Calcium-binding EF hand family protein(AT1G03960)","AT1G03960"
"AT1G04290",9587,0.094,"Thioesterase superfamily protein(AT1G04290)","AT1G04290"
"AT1G04780",9905,0.094,"Ankyrin repeat family protein(AT1G04780)","AT1G04780"
"AT1G10180",9825,0.094,"LOW protein: exocyst complex component-like protein(AT1G10180)","AT1G10180"
"AT1G11660",9944,0.094,"heat shock protein 70 (Hsp 70) family protein(AT1G11660)","AT1G11660"
"AT1G19210",9844,0.094,"Integrase-type DNA-binding superfamily protein(AT1G19210)","AT1G19210"
"AT1G26910",9584,0.094,"Ribosomal protein L16p/L10e family protein(RPL10B)","RPL10B"
"AT1G43850",9905,0.094,"SEUSS transcriptional co-regulator(SEU)","SEU"
"AT1G48160",9531,0.094,"signal recognition particle 19 kDa protein, putative / SRP19(AT1G48160)","AT1G48160"
"AT1G54380",9601,0.094,"spliceosome protein-like protein(AT1G54380)","AT1G54380"
"AT1G55590",9844,0.094,"RNI-like superfamily protein(AT1G55590)","AT1G55590"
"AT1G59600",9584,0.094,"ZCW7(ZCW7)","ZCW7"
"AT1G70310",9518,0.094,"spermidine synthase 2(SPDS2)","SPDS2"
"AT1G72610",9533,0.094,"germin-like protein 1(GER1)","GER1"
"AT1G78720",9845,0.094,"SecY protein transport family protein(AT1G78720)","AT1G78720"
"AT2G15010",9844,0.094,"Plant thionin(AT2G15010)","AT2G15010"
"AT2G17080",9531,0.094,"hypothetical protein (DUF241)(AT2G17080)","AT2G17080"
"AT2G21280",9855,0.094,"NAD(P)-binding Rossmann-fold superfamily protein(SULA)","SULA"
"AT2G31081",9598,0.094,"CLAVATA3/ESR-RELATED 4(CLE4)","CLE4"
"AT2G36000",9593,0.094,"Mitochondrial transcription termination factor family protein(EMB3114)","EMB3114"
"AT2G39080",9567,0.094,"NAD(P)-binding Rossmann-fold superfamily protein(EMB2799)","EMB2799"
"AT3G03773",9533,0.094,"HSP20-like chaperones superfamily protein(AT3G03773)","AT3G03773"
"AT3G18715",9601,0.094,"inflorescence deficient in abscission (IDA)-like 4(IDL4)","IDL4"
"AT3G26700",9526,0.094,"Protein kinase superfamily protein(AT3G26700)","AT3G26700"
"AT3G54100",9526,0.094,"O-fucosyltransferase family protein(AT3G54100)","AT3G54100"
"AT4G25740",9601,0.094,"RNA binding Plectin/S10 domain-containing protein(AT4G25740)","AT4G25740"
"AT4G31400",9587,0.094,"protein CTF7(CTF7)","CTF7"
"AT4G35390",9531,0.094,"AT-hook protein of GA feedback 1(AGF1)","AGF1"
"AT4G37553",9567,0.094,"ncRNA(AT4G37553)","AT4G37553"
"AT4G38040",9855,0.094,"Exostosin family protein(AT4G38040)","AT4G38040"
"AT4G38570",9586,0.094,"Putative CDP-diacylglycerol-inositol 3-phosphatidyltransferase 2(PIS2)","PIS2"
"AT5G12340",9586,0.094,"DUF4228 domain protein(AT5G12340)","AT5G12340"
"AT5G13120",9601,0.094,"cyclophilin 20-2(Pnsl5)","Pnsl5"
"AT5G17500",9880,0.094,"Glycosyl hydrolase superfamily protein(AT5G17500)","AT5G17500"
"AT5G25130",9586,0.094,"cytochrome P450, family 71, subfamily B, polypeptide 12(CYP71B12)","CYP71B12"
"AT5G27590",9905,0.094,"hypothetical protein(AT5G27590)","AT5G27590"
"AT5G28262",9844,0.094,"ncRNA(AT5G28262)","AT5G28262"
"AT5G42990",9874,0.094,"ubiquitin-conjugating enzyme 18(UBC18)","UBC18"
"AT5G44590",9846,0.094,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G44590)","AT5G44590"
"AT5G45140",9547,0.094,"nuclear RNA polymerase C2(NRPC2)","NRPC2"
"AT5G45920",9601,0.094,"SGNH hydrolase-type esterase superfamily protein(AT5G45920)","AT5G45920"
"AT5G48570",8357,0.094,"FKBP-type peptidyl-prolyl cis-trans isomerase family protein(AT5G48570)","AT5G48570"
"AT5G49010",9557,0.094,"DNA replication protein-like protein(SLD5)","SLD5"
"AT5G50175",9584,0.094,"transmembrane protein(AT5G50175)","AT5G50175"
"AT5G51140",9587,0.094,"Pseudouridine synthase family protein(AT5G51140)","AT5G51140"
"AT5G64710",9844,0.094,"Putative endonuclease or glycosyl hydrolase(AT5G64710)","AT5G64710"
"AT1G04820",9518,0.093,"tubulin alpha-4 chain(TUA4)","TUA4"
"AT1G05160",9522,0.093,"cytochrome P450, family 88, subfamily A, polypeptide 3(CYP88A3)","CYP88A3"
"AT1G07270",9531,0.093,"Cell division control, Cdc6(AT1G07270)","AT1G07270"
"AT1G09790",9568,0.093,"COBRA-like protein 6 precursor(COBL6)","COBL6"
"AT1G21660",9587,0.093,"Chaperone DnaJ-domain superfamily protein(AT1G21660)","AT1G21660"
"AT1G22890",9825,0.093,"transmembrane protein(AT1G22890)","AT1G22890"
"AT1G23030",9524,0.093,"ARM repeat superfamily protein(AT1G23030)","AT1G23030"
"AT1G26410",9518,0.093,"FAD-binding Berberine family protein(AT1G26410)","AT1G26410"
"AT1G53290",9593,0.093,"Galactosyltransferase family protein(AT1G53290)","AT1G53290"
"AT1G62530",9874,0.093,"hypothetical protein (DUF863)(AT1G62530)","AT1G62530"
"AT1G64540",9832,0.093,"F-box/FBD-like domains containing protein(AT1G64540)","AT1G64540"
"AT1G69588",9531,0.093,"CLAVATA3/ESR-RELATED 45(CLE45)","CLE45"
"AT1G72250",9550,0.093,"Di-glucose binding protein with Kinesin motor domain-containing protein(AT1G72250)","AT1G72250"
"AT1G78172",9533,0.093,"transmembrane protein(AT1G78172)","AT1G78172"
"AT2G04480",9905,0.093,"hypothetical protein(AT2G04480)","AT2G04480"
"AT2G16720",9531,0.093,"myb domain protein 7(MYB7)","MYB7"
"AT2G20362",9871,0.093,"transmembrane protein(AT2G20362)","AT2G20362"
"AT2G23270",9846,0.093,"transmembrane protein(AT2G23270)","AT2G23270"
"AT2G23910",9557,0.093,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G23910)","AT2G23910"
"AT2G31990",9531,0.093,"Exostosin family protein(AT2G31990)","AT2G31990"
"AT2G40070",9550,0.093,"flocculation FLO11-like protein(AT2G40070)","AT2G40070"
"AT2G40270",6970,0.093,"Protein kinase family protein(AT2G40270)","AT2G40270"
"AT2G42320",6970,0.093,"nucleolar protein gar2-like protein(AT2G42320)","AT2G42320"
"AT2G45695",9874,0.093,"Ubiquitin related modifier 1(AT2G45695)","AT2G45695"
"AT2G47350",9832,0.093,"HIT zinc finger and PAPA-1-like domain-containing protein(AT2G47350)","AT2G47350"
"AT3G10120",6970,0.093,"hypothetical protein(AT3G10120)","AT3G10120"
"AT3G23725",9547,0.093,"hypothetical protein(AT3G23725)","AT3G23725"
"AT3G25560",9819,0.093,"NSP-interacting kinase 2(NIK2)","NIK2"
"AT3G47940",9844,0.093,"DNAJ heat shock family protein(AT3G47940)","AT3G47940"
"AT3G48930",9874,0.093,"Nucleic acid-binding, OB-fold-like protein(EMB1080)","EMB1080"
"AT3G57030",9587,0.093,"Calcium-dependent phosphotriesterase superfamily protein(AT3G57030)","AT3G57030"
"AT3G57770",9819,0.093,"Protein kinase superfamily protein(AT3G57770)","AT3G57770"
"AT3G60670",9880,0.093,"PLATZ transcription factor family protein(AT3G60670)","AT3G60670"
"AT4G09940",9547,0.093,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G09940)","AT4G09940"
"AT4G13395",9557,0.093,"ROTUNDIFOLIA like 12(RTFL12)","RTFL12"
"AT4G14170",9855,0.093,"Pentatricopeptide repeat (PPR) superfamily protein(AT4G14170)","AT4G14170"
"AT4G29520",9547,0.093,"nucleophosmin(AT4G29520)","AT4G29520"
"AT5G01595",9855,0.093,"ncRNA(AT5G01595)","AT5G01595"
"AT5G04781",9905,0.093,"miscRNA(AT5G04781)","AT5G04781"
"AT5G05580",9543,0.093,"fatty acid desaturase 8(FAD8)","FAD8"
"AT5G05740",9819,0.093,"ethylene-dependent gravitropism-deficient and yellow-green-like 2(EGY2)","EGY2"
"AT5G13630",9518,0.093,"magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)(GUN5)","GUN5"
"AT5G15530",9568,0.093,"biotin carboxyl carrier protein 2(BCCP2)","BCCP2"
"AT5G16780",9944,0.093,"SART-1 family(DOT2)","DOT2"
"AT5G17240",9533,0.093,"SET domain group 40(SDG40)","SDG40"
"AT5G20260",8357,0.093,"Exostosin family protein(AT5G20260)","AT5G20260"
"AT5G20840",9560,0.093,"Phosphoinositide phosphatase family protein(AT5G20840)","AT5G20840"
"AT5G44190",9560,0.093,"GOLDEN2-like 2(GLK2)","GLK2"
"AT5G58760",9588,0.093,"damaged DNA binding 2(DDB2)","DDB2"
"AT5G63400",9874,0.093,"adenylate kinase 1(ADK1)","ADK1"
"AT5G65010",9819,0.093,"asparagine synthetase 2(ASN2)","ASN2"
"AT1G18940",9905,0.092,"Nodulin-like / Major Facilitator Superfamily protein(AT1G18940)","AT1G18940"
"AT1G33960",9526,0.092,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AIG1)","AIG1"
"AT1G50790",6970,0.092,"Plant mobile domain protein family(AT1G50790)","AT1G50790"
"AT1G52800",9526,0.092,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G52800)","AT1G52800"
"AT1G54110",9855,0.092,"Membrane fusion protein Use1(AT1G54110)","AT1G54110"
"AT1G56080",9531,0.092,"interactor of constitutive active ROPs protein(AT1G56080)","AT1G56080"
"AT1G61800",9905,0.092,"glucose-6-phosphate/phosphate translocator 2(GPT2)","GPT2"
"AT1G63480",9819,0.092,"AT hook motif DNA-binding family protein(AT1G63480)","AT1G63480"
"AT1G66520",9526,0.092,"formyltransferase(pde194)","pde194"
"AT1G69120",9844,0.092,"K-box region and MADS-box transcription factor family protein(AP1)","AP1"
"AT1G70910",9871,0.092,"RING/U-box superfamily protein(DEP)","DEP"
"AT1G71760",9855,0.092,"hypothetical protein(AT1G71760)","AT1G71760"
"AT1G72190",9524,0.092,"D-isomer specific 2-hydroxyacid dehydrogenase family protein(AT1G72190)","AT1G72190"
"AT1G73440",9825,0.092,"calmodulin-like protein(AT1G73440)","AT1G73440"
"AT1G80900",9522,0.092,"magnesium transporter 1(MGT1)","MGT1"
"AT2G19840",9587,0.092,"hypothetical protein(AT2G19840)","AT2G19840"
"AT2G21640",9846,0.092,"marker for oxidative stress response protein(AT2G21640)","AT2G21640"
"AT2G36830",9874,0.092,"gamma tonoplast intrinsic protein(GAMMA-TIP)","GAMMA-TIP"
"AT2G40290",9518,0.092,"Eukaryotic translation initiation factor 2 subunit 1(AT2G40290)","AT2G40290"
"AT2G42860",9587,0.092,"hypothetical protein(AT2G42860)","AT2G42860"
"AT2G44580",9601,0.092,"zinc ion binding protein(AT2G44580)","AT2G44580"
"AT2G45490",9543,0.092,"ataurora3(AUR3)","AUR3"
"AT2G45850",9560,0.092,"AT hook motif DNA-binding family protein(AT2G45850)","AT2G45850"
"AT3G10690",9825,0.092,"DNA GYRASE A(GYRA)","GYRA"
"AT3G17712",9832,0.092,"hypothetical protein(AT3G17712)","AT3G17712"
"AT3G22530",8357,0.092,"heat shock protein(AT3G22530)","AT3G22530"
"AT3G51150",6970,0.092,"ATP binding microtubule motor family protein(AT3G51150)","AT3G51150"
"AT3G55070",9944,0.092,"LisH/CRA/RING-U-box domains-containing protein(AT3G55070)","AT3G55070"
"AT4G00810",9819,0.092,"60S acidic ribosomal protein family(AT4G00810)","AT4G00810"
"AT4G04320",9588,0.092,"malonyl-CoA decarboxylase family protein(AT4G04320)","AT4G04320"
"AT4G09680",9844,0.092,"conserved telomere maintenance component 1(CTC1)","CTC1"
"AT4G15093",6970,0.092,"catalytic LigB subunit of aromatic ring-opening dioxygenase family(LigB)","LigB"
"AT4G21730",9880,0.092,"miscRNA(AT4G21730)","AT4G21730"
"AT4G25850",9944,0.092,"OSBP(oxysterol binding protein)-related protein 4B(ORP4B)","ORP4B"
"AT4G37800",9526,0.092,"xyloglucan endotransglucosylase/hydrolase 7(XTH7)","XTH7"
"AT4G39040",9825,0.092,"RNA-binding CRS1 / YhbY (CRM) domain protein(AT4G39040)","AT4G39040"
"AT5G13650",9524,0.092,"elongation factor family protein(SVR3)","SVR3"
"AT5G16486",9524,0.092,"RNA-directed DNA polymerase (reverse transcriptase)-related family protein(AT5G16486)","AT5G16486"
"AT5G17430",9845,0.092,"Integrase-type DNA-binding superfamily protein(BBM)","BBM"
"AT5G18500",9855,0.092,"Protein kinase superfamily protein(AT5G18500)","AT5G18500"
"AT5G44200",9567,0.092,"CAP-binding protein 20(CBP20)","CBP20"
"AT5G50390",9524,0.092,"Pentatricopeptide repeat (PPR-like) superfamily protein(EMB3141)","EMB3141"
"AT5G51910",9598,0.092,"TCP family transcription factor(AT5G51910)","AT5G51910"
"AT5G52310",9598,0.092,"low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A)(LTI78)","LTI78"
"AT5G52530",9522,0.092,"dentin sialophosphoprotein-like protein(AT5G52530)","AT5G52530"
"AT5G52760",9825,0.092,"Copper transport protein family(AT5G52760)","AT5G52760"
"AT5G55630",9598,0.092,"Outward rectifying potassium channel protein(KCO1)","KCO1"
"AT5G64080",9871,0.092,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(XYP1)","XYP1"
"AT5G64905",9557,0.092,"elicitor peptide 3 precursor(PROPEP3)","PROPEP3"
"AT1G06070",9832,0.091,"Basic-leucine zipper (bZIP) transcription factor family protein(AT1G06070)","AT1G06070"
"AT1G07645",9533,0.091,"dessication-induced 1VOC superfamily protein(DSI-1VOC)","DSI-1VOC"
"AT1G16000",9874,0.091,"GAG1At protein(AT1G16000)","AT1G16000"
"AT1G21525",9522,0.091,"miscRNA(AT1G21525)","AT1G21525"
"AT1G26190",9587,0.091,"Phosphoribulokinase / Uridine kinase family(AT1G26190)","AT1G26190"
"AT1G32010",9855,0.091,"myosin heavy chain-like protein(AT1G32010)","AT1G32010"
"AT1G43765",9845,0.091,"ncRNA(AT1G43765)","AT1G43765"
"AT1G56470",9547,0.091,"miscRNA(AT1G56470)","AT1G56470"
"AT1G57560",6970,0.091,"myb domain protein 50(MYB50)","MYB50"
"AT1G57720",9557,0.091,"Translation elongation factor EF1B, gamma chain(AT1G57720)","AT1G57720"
"AT1G60230",9518,0.091,"Radical SAM superfamily protein(AT1G60230)","AT1G60230"
"AT1G62120",9846,0.091,"Mitochondrial transcription termination factor family protein(AT1G62120)","AT1G62120"
"AT1G65730",9531,0.091,"YELLOW STRIPE like 7(YSL7)","YSL7"
"AT2G18490",9524,0.091,"C2H2-like zinc finger protein(AT2G18490)","AT2G18490"
"AT2G28570",8357,0.091,"hypothetical protein(AT2G28570)","AT2G28570"
"AT2G33390",8357,0.091,"hypothetical protein(AT2G33390)","AT2G33390"
"AT2G34630",9588,0.091,"geranyl diphosphate synthase 1(GPS1)","GPS1"
"AT2G42010",9531,0.091,"phospholipase D beta 1(PLDBETA1)","PLDBETA1"
"AT2G47560",9557,0.091,"RING/U-box superfamily protein(AT2G47560)","AT2G47560"
"AT3G01480",9584,0.091,"cyclophilin 38(CYP38)","CYP38"
"AT3G11120",9880,0.091,"Ribosomal protein L41 family(AT3G11120)","AT3G11120"
"AT3G12160",9880,0.091,"RAB GTPase homolog A4D(RABA4D)","RABA4D"
"AT3G18750",9832,0.091,"with no lysine (K) kinase 6(WNK6)","WNK6"
"AT3G20170",9844,0.091,"ARM repeat superfamily protein(AT3G20170)","AT3G20170"
"AT3G23830",9598,0.091,"glycine-rich RNA-binding protein 4(GRP4)","GRP4"
"AT3G26812",9598,0.091,"ncRNA(MIR169i)","MIR169i"
"AT3G29000",9855,0.091,"Calcium-binding EF-hand family protein(AT3G29000)","AT3G29000"
"AT3G49810",9543,0.091,"ARM repeat superfamily protein(AT3G49810)","AT3G49810"
"AT3G58000",9547,0.091,"VQ motif-containing protein(AT3G58000)","AT3G58000"
"AT3G61390",9518,0.091,"RING/U-box superfamily protein(AT3G61390)","AT3G61390"
"AT3G62980",9587,0.091,"F-box/RNI-like superfamily protein(TIR1)","TIR1"
"AT4G11740",6970,0.091,"Ubiquitin-like superfamily protein(SAY1)","SAY1"
"AT4G21585",9586,0.091,"endonuclease 4(ENDO4)","ENDO4"
"AT4G22517",9560,0.091,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22517)","AT4G22517"
"AT4G30750",9593,0.091,"hypothetical protein(AT4G30750)","AT4G30750"
"AT4G32000",9557,0.091,"Protein kinase superfamily protein(AT4G32000)","AT4G32000"
"AT4G32840",9874,0.091,"phosphofructokinase 6(PFK6)","PFK6"
"AT4G33350",9550,0.091,"Tic22-like family protein(Tic22-IV)","Tic22-IV"
"AT4G39640",9586,0.091,"gamma-glutamyl transpeptidase 1(GGT1)","GGT1"
"AT5G02060",9526,0.091,"Uncharacterized protein family (UPF0497)(AT5G02060)","AT5G02060"
"AT5G03250",9587,0.091,"Phototropic-responsive NPH3 family protein(AT5G03250)","AT5G03250"
"AT5G12150",9874,0.091,"Rho GTPase activation protein (RhoGAP) with PH domain-containing protein(AT5G12150)","AT5G12150"
"AT5G15960",9601,0.091,"stress-responsive protein (KIN1) / stress-induced protein (KIN1)(KIN1)","KIN1"
"AT5G25910",9557,0.091,"receptor like protein 52(RLP52)","RLP52"
"AT5G41315",9522,0.091,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(GL3)","GL3"
"AT5G45960",9844,0.091,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT5G45960)","AT5G45960"
"AT5G47670",9568,0.091,"nuclear factor Y, subunit B6(NF-YB6)","NF-YB6"
"AT5G51880",9587,0.091,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G51880)","AT5G51880"
"AT5G59180",9588,0.091,"DNA-directed RNA polymerase II(NRPB7)","NRPB7"
"AT5G62490",9587,0.091,"HVA22 homologue B(HVA22B)","HVA22B"
"AT5G64020",9825,0.091,"TRICHOME BIREFRINGENCE-LIKE 14(TBL14)","TBL14"
"AT5G67490",9557,0.091,"succinate dehydrogenase assembly factor(AT5G67490)","AT5G67490"
"AT1G02060",6970,0.09,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02060)","AT1G02060"
"AT1G04250",9567,0.09,"AUX/IAA transcriptional regulator family protein(AXR3)","AXR3"
"AT1G04530",9531,0.09,"Tetratricopeptide repeat (TPR)-like superfamily protein(TPR4)","TPR4"
"AT1G05850",9524,0.09,"Chitinase family protein(POM1)","POM1"
"AT1G24310",9531,0.09,"nuclear pore complex protein(AT1G24310)","AT1G24310"
"AT1G35260",9601,0.09,"MLP-like protein 165(MLP165)","MLP165"
"AT1G43170",9533,0.09,"ribosomal protein 1(RP1)","RP1"
"AT1G57730",9560,0.09,"RING/U-box superfamily protein(AT1G57730)","AT1G57730"
"AT1G59670",9601,0.09,"glutathione S-transferase TAU 15(GSTU15)","GSTU15"
"AT1G71180",9598,0.09,"6-phosphogluconate dehydrogenase family protein(AT1G71180)","AT1G71180"
"AT1G77020",9522,0.09,"DNAJ heat shock N-terminal domain-containing protein(AT1G77020)","AT1G77020"
"AT2G18380",9855,0.09,"GATA transcription factor 20(GATA20)","GATA20"
"AT2G18710",9819,0.09,"SECY homolog 1(SCY1)","SCY1"
"AT2G19410",9560,0.09,"U-box domain-containing protein kinase family protein(AT2G19410)","AT2G19410"
"AT2G32765",9550,0.09,"small ubiquitinrelated modifier 5(SUMO5)","SUMO5"
"AT2G33835",9557,0.09,"Zinc finger C-x8-C-x5-C-x3-H type family protein(FES1)","FES1"
"AT2G43900",9601,0.09,"Endonuclease/exonuclease/phosphatase family protein(5PTase12)","5PTase12"
"AT2G48010",9601,0.09,"receptor-like kinase in in flowers 3(RKF3)","RKF3"
"AT3G45930",9601,0.09,"Histone superfamily protein(AT3G45930)","AT3G45930"
"AT3G59220",8357,0.09,"pirin(PRN)","PRN"
"AT3G60286",9871,0.09,"hypothetical protein(AT3G60286)","AT3G60286"
"AT3G60850",9567,0.09,"hypothetical protein(AT3G60850)","AT3G60850"
"AT4G01340",9584,0.09,"CHP-rich zinc finger protein-like protein(AT4G01340)","AT4G01340"
